Time,Open,High,Low,Close,Volume
"Jun 8, 2021",180.76,187.01,173.56,185.00,11564500
"Jun 9, 2021",186.00,190.55,184.25,188.97,11123000
"Jun 10, 2021",190.50,198.48,187.50,192.95,11028500
"Jun 11, 2021",193.00,196.30,181.65,183.27,12154500
"Jun 14, 2021",186.00,188.99,181.01,186.71,5033000
"Jun 15, 2021",186.40,186.47,180.50,181.21,3054000
"Jun 16, 2021",181.47,183.50,176.00,177.45,1585000
"Jun 17, 2021",177.00,180.37,174.60,175.38,1695000
"Jun 18, 2021",177.69,181.99,174.55,176.62,1894000
"Jun 21, 2021",175.10,176.79,173.50,174.28,1006000
"Jun 22, 2021",175.24,176.00,171.50,172.09,1096500
"Jun 23, 2021",172.25,175.99,170.81,172.88,1572500
"Jun 24, 2021",174.30,175.99,172.10,173.08,1412000
"Jun 25, 2021",173.40,173.40,162.26,166.43,2684000
"Jun 28, 2021",166.00,168.68,160.56,162.00,1196000
"Jun 29, 2021",163.25,168.70,163.05,165.59,1305500
"Jun 30, 2021",167.00,172.30,167.00,169.98,1813500
"Jul 1, 2021",170.90,177.74,169.40,175.79,3324200
"Jul 2, 2021",176.90,178.00,171.65,172.62,1537600
"Jul 5, 2021",173.07,173.07,169.00,169.81,955200
"Jul 6, 2021",170.50,171.50,160.80,163.23,881800
"Jul 7, 2021",162.00,164.90,158.50,161.65,975900
"Jul 8, 2021",162.10,173.77,162.10,173.77,2524400
"Jul 9, 2021",174.00,175.74,167.01,167.90,2650100
"Jul 12, 2021",166.13,169.39,163.85,164.71,606000
"Jul 13, 2021",164.00,177.06,164.00,176.93,8267800
"Jul 14, 2021",176.50,181.89,170.61,171.73,4958400
"Jul 15, 2021",173.50,173.68,166.95,168.34,3006300
"Jul 16, 2021",169.50,172.40,168.10,168.75,1721100
"Jul 19, 2021",169.00,171.99,167.70,168.64,953400
"Jul 23, 2021",169.98,170.00,164.70,165.36,865700
"Jul 26, 2021",166.85,170.48,165.24,167.57,1434900
"Jul 27, 2021",168.34,169.40,165.30,165.82,553800
"Jul 28, 2021",166.15,168.50,158.00,159.27,1411100
"Jul 29, 2021",162.15,162.15,153.02,157.43,1293000
"Jul 30, 2021",156.98,158.68,149.00,149.50,1928700
"Aug 2, 2021",149.55,160.00,149.50,158.41,1626700
"Aug 3, 2021",158.60,165.80,156.99,161.91,2168400
"Aug 4, 2021",162.34,164.50,160.00,160.78,1069800
"Aug 5, 2021",161.02,162.97,159.51,161.39,847500
"Aug 6, 2021",161.31,161.50,156.55,157.64,557100
"Aug 9, 2021",159.00,159.50,145.82,147.59,1507100
"Aug 10, 2021",146.75,153.50,144.00,151.64,1417600
"Aug 11, 2021",153.00,157.90,153.00,154.19,1441600
"Aug 12, 2021",154.00,155.99,151.01,151.93,1086900
"Aug 13, 2021",152.15,157.20,151.99,152.86,2000500
"Aug 16, 2021",152.87,153.45,147.00,149.30,1398200
"Aug 17, 2021",150.01,154.65,150.01,152.16,1040400
"Aug 20, 2021",153.00,154.80,152.31,152.95,470000
"Aug 23, 2021",153.50,155.01,153.05,153.56,585400
"Aug 24, 2021",154.90,158.25,154.01,154.92,2374400
"Aug 25, 2021",155.00,156.20,151.15,151.88,906400
"Aug 26, 2021",152.37,153.00,148.32,148.91,711800
"Aug 27, 2021",147.17,151.90,146.68,150.24,953200
"Aug 30, 2021",151.50,157.70,151.50,155.59,2497500
"Aug 31, 2021",156.70,159.00,153.65,154.59,1687400
"Sep 1, 2021",153.52,157.10,153.52,154.64,1036500
"Sep 2, 2021",155.00,157.70,154.00,154.59,1144900
"Sep 3, 2021",154.70,155.90,151.65,152.68,848800
"Sep 6, 2021",153.80,154.00,152.01,152.78,323400
"Sep 7, 2021",153.00,154.00,148.90,150.19,743900
"Sep 8, 2021",151.44,153.50,149.80,150.93,591500
"Sep 9, 2021",151.50,157.00,151.50,154.30,2099400
"Sep 10, 2021",155.95,165.87,155.35,165.87,5205600
"Sep 13, 2021",168.00,168.40,157.75,159.76,2761300
"Sep 14, 2021",159.10,162.50,148.36,152.71,1838100
"Sep 15, 2021",154.00,155.40,150.02,154.61,1265200
"Sep 16, 2021",155.00,160.99,153.00,157.93,2696400
"Sep 17, 2021",159.10,159.88,153.10,153.57,1064300
"Sep 20, 2021",152.99,153.30,150.72,151.64,578000
"Sep 21, 2021",151.98,154.48,144.50,147.38,696500
"Sep 22, 2021",147.00,147.90,136.33,139.89,1621900
"Sep 23, 2021",139.00,139.01,129.40,129.56,2089800
"Sep 24, 2021",128.50,129.00,119.85,119.85,1766200
"Sep 27, 2021",119.00,120.99,110.87,112.55,1733300
"Sep 28, 2021",113.40,120.99,112.60,120.99,1394100
"Sep 29, 2021",121.10,126.75,116.50,121.07,4212000
"Sep 30, 2021",120.00,128.00,120.00,124.88,2031800
"Oct 1, 2021",124.00,126.14,123.01,124.48,1057500
"Oct 4, 2021",123.51,133.81,121.50,133.32,3871700
"Oct 5, 2021",132.74,133.75,128.00,128.51,1896900
"Oct 6, 2021",128.50,129.43,123.00,124.96,695600
"Oct 7, 2021",125.05,129.18,123.50,124.70,690300
"Oct 8, 2021",124.09,125.95,121.30,122.78,557700
"Oct 11, 2021",123.86,123.86,113.58,113.78,1222400
"Oct 12, 2021",111.26,113.01,106.50,110.34,1341200
"Oct 13, 2021",110.10,112.40,102.07,102.92,1316000
"Oct 14, 2021",101.00,109.75,98.56,108.31,1459300
"Oct 15, 2021",109.00,109.00,102.56,106.34,780000
"Oct 18, 2021",104.01,105.00,100.10,101.35,599200
"Oct 20, 2021",102.99,108.95,101.35,108.92,1660900
"Oct 21, 2021",109.50,111.47,102.30,103.15,1629600
"Oct 22, 2021",101.00,102.48,97.50,101.16,1300800
"Oct 25, 2021",101.65,103.19,100.00,102.61,244100
"Oct 26, 2021",103.90,105.00,101.01,102.59,421800
"Oct 27, 2021",104.99,110.28,104.94,108.14,959100
"Oct 28, 2021",108.00,111.30,105.55,107.33,2133500
"Oct 29, 2021",107.00,108.49,104.00,105.41,1509900
"Nov 1, 2021",106.00,111.49,104.50,109.68,2566300
"Nov 2, 2021",110.40,115.98,108.60,113.25,2240600
"Nov 3, 2021",113.98,117.55,111.16,116.35,2198400
"Nov 4, 2021",116.80,125.07,115.70,125.07,3977700
"Nov 5, 2021",128.99,131.80,126.73,128.00,4982800
"Nov 8, 2021",127.78,129.75,118.40,120.31,2452900
"Nov 9, 2021",118.83,118.90,113.13,114.00,2652500
"Nov 10, 2021",114.99,117.97,111.00,114.57,1226800
"Nov 11, 2021",115.49,117.75,112.20,112.88,1434200
"Nov 12, 2021",112.81,114.90,110.51,112.97,962100
"Nov 15, 2021",112.90,114.65,111.50,112.19,552100
"Nov 16, 2021",113.50,120.60,113.50,120.60,2435700
"Nov 17, 2021",122.49,123.00,112.20,114.41,3851400
"Nov 18, 2021",113.00,115.90,105.83,108.50,2384400
